latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-19.7587,32.9504,322.4,1.5,1.2,2022-01-05,817,Terra,MODIS,80,6.03,286.4,28.9,D,0
-19.7544,32.9425,315.1,1.5,1.2,2022-01-05,817,Terra,MODIS,73,6.03,285.8,18.8,D,0
-19.7561,32.9567,312.7,1.5,1.2,2022-01-05,817,Terra,MODIS,69,6.03,285.4,15.5,D,0
-16.7628,28.5861,311.3,4.1,1.9,2022-01-05,1111,Aqua,MODIS,0,6.03,287,43.1,D,0
-19.7228,27.8077,303.7,1.7,1.3,2022-01-18,2312,Aqua,MODIS,56,6.03,288.7,14.6,N,0
-18.8839,29.9266,310.3,1.5,1.2,2022-01-19,829,Terra,MODIS,50,6.03,296.8,8.1,D,0
-18.7365,32.9004,315.9,1.1,1.1,2022-02-10,751,Terra,MODIS,53,6.03,297.3,10.1,D,0
-18.7351,32.9069,308.9,3.1,1.7,2022-02-11,834,Terra,MODIS,54,6.03,288.8,32.3,D,0
-18.7372,32.9118,306.7,3.1,1.7,2022-02-11,834,Terra,MODIS,33,6.03,288.8,21.7,D,0
-19.8441,32.7925,320.1,1.1,1.1,2022-02-11,1128,Aqua,MODIS,69,6.03,300.2,14.3,D,0
-19.77,32.9469,319.8,1.1,1,2022-02-11,1128,Aqua,MODIS,45,6.03,299.9,11.6,D,0
-19.7686,32.9572,333.2,1.1,1,2022-02-11,1128,Aqua,MODIS,84,6.03,303.9,29.4,D,0
-19.7781,32.9583,322.2,1.1,1,2022-02-11,1128,Aqua,MODIS,66,6.03,301.4,14,D,0
-19.8427,32.8032,314.9,1.1,1.1,2022-02-11,1128,Aqua,MODIS,54,6.03,300.1,8.5,D,0
-18.4361,26.4873,321.8,1.2,1.1,2022-02-12,1212,Aqua,MODIS,53,6.03,300.6,12.7,D,0
-17.7937,30.86,309.6,1.3,1.1,2022-02-13,822,Terra,MODIS,42,6.03,295.9,5.8,D,0
-18.4457,26.5222,319.1,1,1,2022-02-13,822,Terra,MODIS,54,6.03,305,10,D,2
-18.4471,26.5318,317.8,1,1,2022-02-13,822,Terra,MODIS,54,6.03,304.3,8.3,D,2
-19.7616,32.9506,316.7,1.8,1.3,2022-02-14,1159,Aqua,MODIS,51,6.03,300.4,19,D,0
-18.9607,27.8214,326.6,1.2,1.1,2022-02-15,810,Terra,MODIS,78,6.03,304.4,19.1,D,0
-18.9511,27.8231,318.3,1.2,1.1,2022-02-15,810,Terra,MODIS,58,6.03,302.9,8.1,D,0
-19.9319,32.6945,310.5,3,1.6,2022-02-15,1104,Aqua,MODIS,49,6.03,290.6,33.2,D,0
-19.9316,32.6878,312,3,1.6,2022-02-15,1104,Aqua,MODIS,59,6.03,291,38.8,D,0
-19.8141,32.895,311.8,1,1,2022-02-17,758,Terra,MODIS,40,6.03,294.2,7,D,0
-18.4511,26.5309,324,1,1,2022-02-21,1205,Aqua,MODIS,37,6.03,305.5,7.2,D,2
-18.5355,29.9341,315.8,1,1,2022-02-22,815,Terra,MODIS,59,6.03,300.5,7,D,0
-19.7577,32.9446,316.7,2.2,1.4,2022-02-22,1110,Aqua,MODIS,67,6.03,295.1,32.3,D,0
-18.4362,26.4909,320.5,1,1,2022-03-01,822,Terra,MODIS,60,6.03,303.9,9.3,D,0
-19.7378,32.8495,323.3,2.7,1.6,2022-03-02,727,Terra,MODIS,77,6.03,294.3,75.6,D,0
-18.3796,32.679,315,1.8,1.3,2022-03-02,1159,Aqua,MODIS,57,6.03,293.1,19.9,D,0
-19.7541,32.9526,315.2,1.2,1.1,2022-03-03,809,Terra,MODIS,63,6.03,299.1,11.1,D,0
-19.7307,32.8495,385.7,1.2,1.1,2022-03-03,809,Terra,MODIS,87,6.03,300.5,222.4,D,0
-19.7322,32.8606,377,1.2,1.1,2022-03-03,809,Terra,MODIS,87,6.03,296.8,176.1,D,0
-19.8787,32.976,312.6,1.2,1.1,2022-03-03,809,Terra,MODIS,54,6.03,295.9,10.1,D,0
-20.5936,29.3501,321.8,1,1,2022-03-04,1146,Aqua,MODIS,36,6.03,307.4,5.6,D,0
-18.4448,26.5274,310.9,2.3,1.5,2022-03-05,757,Terra,MODIS,30,6.03,291,14,D,2
-20.7813,31.8503,315.6,1,1,2022-03-05,757,Terra,MODIS,42,6.03,301.3,6.3,D,0
-21.3931,32.176,309.1,3.9,1.8,2022-03-06,840,Terra,MODIS,32,6.03,291.3,42.9,D,0
-19.9853,32.9314,316.3,1,1,2022-03-06,1133,Aqua,MODIS,38,6.03,298,7.6,D,0
-19.7395,32.8454,315.1,1,1,2022-03-06,1134,Aqua,MODIS,26,6.03,297.9,8.3,D,0
-19.7406,32.9043,325.5,1,1,2022-03-06,1134,Aqua,MODIS,75,6.03,299,18.4,D,0
-19.7341,32.863,310.8,1.5,1.2,2022-03-10,815,Terra,MODIS,59,6.03,286.1,15.5,D,0
-19.7298,32.8525,309,2.3,1.5,2022-03-10,1109,Aqua,MODIS,29,6.03,289.7,17.8,D,0
-19.7386,32.8615,390.5,1.1,1,2022-03-14,751,Terra,MODIS,100,6.03,307.3,221.7,D,0
-19.737,32.8513,380.2,1.1,1,2022-03-14,751,Terra,MODIS,100,6.03,300,169.1,D,0
-19.8841,32.9791,315.6,1.1,1,2022-03-14,751,Terra,MODIS,56,6.03,296.1,10.5,D,0
-19.7479,32.8598,342.6,1.1,1,2022-03-14,751,Terra,MODIS,91,6.03,301.7,49,D,0
-19.8825,32.9689,375.6,1.1,1,2022-03-14,751,Terra,MODIS,100,6.03,301.1,147.2,D,0
-19.7463,32.8494,324.4,1.1,1,2022-03-14,751,Terra,MODIS,75,6.03,295.4,19.9,D,0
-17.9864,32.7731,307.4,3,1.6,2022-03-15,833,Terra,MODIS,34,6.03,290.5,21.4,D,0
-17.987,32.7797,307.9,3,1.6,2022-03-15,833,Terra,MODIS,38,6.03,290.1,23.3,D,0
-19.755,32.8606,327.9,3.2,1.7,2022-03-15,834,Terra,MODIS,76,6.03,291.1,128.4,D,0
-18.9665,30.1111,326.1,1,1,2022-03-20,1145,Aqua,MODIS,77,6.03,300.2,17,D,0
-18.8168,30.2553,318.4,1,1,2022-03-20,1145,Aqua,MODIS,64,6.03,302.9,8.1,D,0
-21.1897,31.6547,329.5,1,1,2022-03-20,1145,Aqua,MODIS,68,6.03,304.1,21.6,D,0
-20.697,28.5742,315.6,1.1,1.1,2022-03-20,1145,Aqua,MODIS,58,6.03,301.2,6.5,D,0
-18.9678,30.1016,319.3,1,1,2022-03-20,1145,Aqua,MODIS,66,6.03,300.2,9.9,D,0
-18.9692,30.1167,310.1,2.5,1.5,2022-03-22,839,Terra,MODIS,57,6.03,290.4,22.7,D,0
-19.697,28.7271,320,1.3,1.1,2022-03-24,827,Terra,MODIS,0,6.03,297.3,16.1,D,0
-19.6955,28.7152,319.9,1.3,1.1,2022-03-24,827,Terra,MODIS,68,6.03,297.3,15.6,D,0
-19.6864,28.7223,344.3,1.3,1.1,2022-03-24,827,Terra,MODIS,87,6.03,299.5,60.7,D,0
-19.7449,32.8432,315.9,2.4,1.5,2022-03-24,827,Terra,MODIS,65,6.03,290.4,43.5,D,0
-19.7376,32.8502,317.8,2.4,1.5,2022-03-24,827,Terra,MODIS,69,6.03,291.9,45.6,D,0
-18.4351,26.4892,316.7,1,1,2022-03-24,827,Terra,MODIS,59,6.03,302.4,8.3,D,0
-19.7446,32.8544,330.9,1.5,1.2,2022-03-24,1120,Aqua,MODIS,83,6.03,302.4,44.7,D,0
-19.6371,32.8036,348.2,1.5,1.2,2022-03-24,1120,Aqua,MODIS,89,6.03,296.3,94.8,D,0
-19.6387,32.7903,340.5,1.5,1.2,2022-03-24,1120,Aqua,MODIS,90,6.03,299.3,70,D,0
-19.743,32.8682,341.7,1.4,1.2,2022-03-24,1120,Aqua,MODIS,90,6.03,297.9,72.1,D,0
-18.3565,26.427,320.9,1.2,1.1,2022-03-26,815,Terra,MODIS,59,6.03,302.6,11.9,D,0
-18.9567,27.8276,317.6,2.2,1.4,2022-03-29,845,Terra,MODIS,73,6.03,295.8,32.6,D,0
