latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
-19.23918,31.01211,312.62,1.36,1.15,2024-07-01,0714,Terra,MODIS,70,6.1NRT,293.07,15.21,D
-16.49202,29.61277,304.04,1.9,1.35,2024-07-01,0714,Terra,MODIS,47,6.1NRT,289.12,10.5,D
-17.15553,31.26375,309.5,1.41,1.18,2024-07-01,0714,Terra,MODIS,64,6.1NRT,293.55,11.23,D
-17.15768,31.27665,309.73,1.41,1.17,2024-07-01,0714,Terra,MODIS,64,6.1NRT,293.07,11.37,D
-17.14654,31.14495,305.93,1.44,1.19,2024-07-01,0714,Terra,MODIS,53,6.1NRT,294.07,7.44,D
-18.61023,32.12756,308.77,1.2,1.09,2024-07-01,0714,Terra,MODIS,66,6.1NRT,290.45,9.85,D
-19.23708,30.99953,309.06,1.36,1.15,2024-07-01,0714,Terra,MODIS,64,6.1NRT,292.82,11.16,D
-21.10308,31.66762,304.69,1.17,1.08,2024-07-01,0716,Terra,MODIS,51,6.1NRT,292.94,5.6,D
-16.20957,29.36971,302.12,1,1,2024-07-02,0003,Aqua,MODIS,33,6.1NRT,285.2,5.98,N
-16.21846,29.36831,311.93,1,1,2024-07-02,0003,Aqua,MODIS,82,6.1NRT,286.36,11.84,N
-18.36419,26.47625,304.27,1.16,1.07,2024-07-02,0003,Aqua,MODIS,52,6.1NRT,287.32,9.28,N
-18.36593,26.48706,300.41,1.16,1.07,2024-07-02,0003,Aqua,MODIS,18,6.1NRT,286.92,6.74,N
-18.36829,26.47986,309.78,1.16,1.07,2024-07-02,0003,Aqua,MODIS,78,6.1NRT,287.69,14.26,N
-16.84899,31.88712,307.83,2.28,1.46,2024-07-02,0754,Terra,MODIS,49,6.1NRT,295.93,12.4,D
-17.18664,30.72074,310.52,1.88,1.34,2024-07-02,0754,Terra,MODIS,62,6.1NRT,295.22,19.08,D
-17.18076,30.72716,306.65,1.88,1.34,2024-07-02,0754,Terra,MODIS,42,6.1NRT,294.66,11.26,D
-16.63725,29.25299,310.45,1.45,1.19,2024-07-02,0754,Terra,MODIS,54,6.1NRT,296.83,8.73,D
-16.21511,29.3672,325.93,1.45,1.19,2024-07-02,0754,Terra,MODIS,81,6.1NRT,297.76,32.26,D
-16.63243,29.2595,316.17,1.45,1.19,2024-07-02,0754,Terra,MODIS,71,6.1NRT,298.13,15.98,D
-16.04446,30.31443,310.21,1.68,1.28,2024-07-02,0754,Terra,MODIS,54,6.1NRT,297.02,9.84,D
-16.21349,29.35411,315.41,1.45,1.19,2024-07-02,0754,Terra,MODIS,59,6.1NRT,297.88,14.13,D
-18.366,26.48306,315.68,1.07,1.03,2024-07-02,0756,Terra,MODIS,66,6.1NRT,300.82,9.35,D
-18.37519,26.48168,314.49,1.07,1.03,2024-07-02,0756,Terra,MODIS,50,6.1NRT,299.97,7.97,D
-19.4424,30.56292,332.52,1.07,1.03,2024-07-02,1214,Aqua,MODIS,85,6.1NRT,301.42,28.52,D
-18.24537,29.9756,317.54,1.1,1.04,2024-07-02,1214,Aqua,MODIS,41,6.1NRT,300.02,10.55,D
-17.88153,31.77465,325.48,1,1,2024-07-02,1214,Aqua,MODIS,79,6.1NRT,301.59,15.85,D
-17.91176,30.9807,314,1.02,1.01,2024-07-02,1214,Aqua,MODIS,62,6.1NRT,299.51,5.97,D
-17.89824,30.61809,326.76,1.04,1.02,2024-07-02,1214,Aqua,MODIS,80,6.1NRT,298.07,20.82,D
-17.73849,31.42628,349.56,1,1,2024-07-02,1214,Aqua,MODIS,95,6.1NRT,296.06,56.23,D
-17.83455,30.7495,324.99,1.03,1.01,2024-07-02,1214,Aqua,MODIS,79,6.1NRT,300.2,18.3,D
-17.75559,30.38592,323.09,1.05,1.02,2024-07-02,1214,Aqua,MODIS,77,6.1NRT,295.95,16.34,D
-17.7465,30.38454,384.35,1.05,1.02,2024-07-02,1214,Aqua,MODIS,100,6.1NRT,302.31,177.58,D
-17.74784,30.37478,367.93,1.05,1.02,2024-07-02,1214,Aqua,MODIS,100,6.1NRT,302.32,110.58,D
